Label,Item,Especialidad,Cod_SAP,Und,Sitio,Tipo,Alcance,Catalogo,Cant_Contractual
002 — PK-47+128 · Movilización y desmovilización  [Und],2,CIV,3000672,Und,PK-47+128,Servicios,ALCANCE A SERVICIOS,1.1,1
003 — PK-47+128 · Elaboración de la Ingeniería de Detalle en línea  [Und],3,COR,3000933,Und,PK-47+128,Servicios,ALCANCE A SERVICIOS,3.1.1,1
"004 — PK-47+128 · Diagnóstico, modelamiento y mitigación de interferencias en línea  [km]",4,COR,3026527,km,PK-47+128,Servicios,ALCANCE A SERVICIOS,3.16,16
005 — PK-47+128 · Complementación de ingeniería básica elaboración de la ingeniería para construcción en línea  [Und],5,COR,3026501,Und,PK-47+128,Servicios,ALCANCE A SERVICIOS,3.1.3,1
006 — PK-321+100 · Movilización y desmovilización  [Und],6,CIV,3000672,Und,PK-321+100,Servicios,ALCANCE A SERVICIOS,1.1,0
007 — PK-321+100 · Elaboración de la Ingeniería de Detalle en línea  [Und],7,COR,3000933,Und,PK-321+100,Servicios,ALCANCE A SERVICIOS,3.1.1,1
008 — PK-152+428 · Campamento de obra (Instalaciones temporales)  [Und],8,CIV,3001334,Und,PK-152+428,Servicios,ALCANCE A SERVICIOS,1.2,1
009 — PK-152+428 · Identificación de estructuras enterradas  [m²],9,CIV,3001545,m²,PK-152+428,Servicios,ALCANCE A SERVICIOS,1.3,5
010 — PK-152+428 · Instalación y tendido de cable de Protección Catódica  [m],10,ELE,3001496,m,PK-152+428,Servicios,ALCANCE A SERVICIOS,2.4,10
011 — PK-152+428 · Suministro e instalacion de estacion de prueba en linea  [Und],11,COR,3012259,Und,PK-152+428,Servicios,ALCANCE A SERVICIOS,3.34,1
013 — PK-47+128 · Movilización y desmovilización  [Und],13,CIV,3000672,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.1,1
014 — PK-47+128 · Campamento de obra (Instalaciones temporales)  [Und],14,CIV,3001334,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.2,1
015 — PK-47+128 · Identificación de estructuras enterradas  [m²],15,CIV,3001545,m²,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.3,9
016 — PK-47+128 · Excavación manual (incluye retiro a botadero autorizado)  [m3],16,CIV,3000642,m3,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.4,10
017 — PK-47+128 · Relleno (compactado)  [m3],17,CIV,3000872,m3,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.6,10
018 — PK-47+128 · Perforacion vertical  [m],18,CIV,3012173,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.18,100
